Date,Depth,Density
2019-08-01,0.0,143.333
2019-08-02,0.0,139.58424
2019-08-03,0.0,143.09354
2019-08-04,0.0,145.96544
2019-08-05,0.0,143.64403
2019-08-06,0.0,144.97366
2019-08-07,0.0,175.08684
2019-08-08,0.0,139.13562
2019-08-09,0.0,224.69669
2019-08-10,0.0,149.81725
2019-08-11,0.0,140.78221
2019-08-12,0.0,272.66492
2019-08-13,0.0,303.02338
2019-08-14,0.0,144.75896
2019-08-15,0.0,136.03355
2019-08-16,0.0,291.16653
2019-08-17,0.0,147.64142
2019-08-18,0.0,147.74323
2019-08-19,0.0,142.4527
2019-08-20,0.0,140.10786
2019-08-21,0.0,290.65546
2019-08-22,0.0,140.79013
2019-08-23,0.0,113.81678
2019-08-24,0.0,264.22595
2019-08-25,0.0,194.35158
2019-08-26,0.0,108.9349
2019-08-27,0.0,202.66003
2019-08-28,0.0,131.55782
2019-08-29,0.0,172.11195
2019-08-30,0.0,163.94061
2019-08-31,0.0,121.71295
2019-09-01,0.087752625,125.87683
2019-09-02,0.073977254,172.70139
2019-09-03,0.074725136,183.74791
2019-09-04,0.077472374,227.75287
2019-09-05,0.08872501,273.12384
2019-09-06,0.10556706,251.02075
2019-09-07,0.10786693,250.23827
2019-09-08,0.12199356,240.88727
2019-09-09,0.117191896,274.62772
2019-09-10,0.11175185,294.90894
2019-09-11,0.11330416,301.50012
2019-09-12,0.11511494,300.45493
2019-09-13,0.12023828,294.10422
2019-09-14,0.12493322,287.77014
2019-09-15,0.12857889,283.33755
2019-09-16,0.13276188,278.40222
2019-09-17,0.12969325,288.64984
2019-09-18,0.14089075,287.91052
2019-09-19,0.13978492,292.53564
2019-09-20,0.14254613,291.53073
2019-09-21,0.14468844,290.78226
2019-09-22,0.15044223,284.7444
2019-09-23,0.15277569,283.00146
2019-09-24,0.15622717,280.40518
2019-09-25,0.16446061,274.75745
2019-09-26,0.16973576,274.11328
2019-09-27,0.15370941,305.62518
2019-09-28,0.15406407,307.34683
2019-09-29,0.1584498,302.0026
2019-09-30,0.15840435,303.4068
2019-10-01,0.15771939,305.34256
2019-10-02,0.15808232,305.6925
2019-10-03,0.15741965,307.91504
2019-10-04,0.15793306,309.09286
2019-10-05,0.16341564,301.51227
2019-10-06,0.16229525,303.89825
2019-10-07,0.15285559,322.0574
2019-10-08,0.15104088,335.22607
2019-10-09,0.1560008,326.82974
2019-10-10,0.15650825,326.58072
2019-10-11,0.15592605,328.28122
2019-10-12,0.15946983,323.49158
2019-10-13,0.1657401,314.1564
2019-10-14,0.16657032,314.569
2019-10-15,0.17111456,307.88397
2019-10-16,0.17430912,303.6671
2019-10-17,0.1762862,301.3207
2019-10-18,0.17813575,301.36282
2019-10-19,0.18567184,293.31192
2019-10-20,0.20059204,279.9734
2019-10-21,0.18122527,313.96103
2019-10-22,0.17096502,334.8824
2019-10-23,0.17007054,337.78168
2019-10-24,0.1737861,332.8808
2019-10-25,0.19413933,304.6971
2019-10-26,0.19988349,297.9534
2019-10-27,0.20014863,299.51044
2019-10-28,0.18990558,314.60507
2019-10-29,0.18881863,317.88474
2019-10-30,0.18992832,316.93494
2019-10-31,0.19082709,315.9818
2019-11-01,0.19207476,314.544
2019-11-02,0.19642887,309.0326
2019-11-03,0.19870697,307.28683
2019-11-04,0.19732319,313.49442
2019-11-05,0.19376835,320.13013
2019-11-06,0.19647372,317.502
2019-11-07,0.20859613,303.87415
2019-11-08,0.21249339,299.85803
2019-11-09,0.22159159,290.34082
2019-11-10,0.22510399,287.0486
2019-11-11,0.214205,305.72308
2019-11-12,0.20310038,322.75208
2019-11-13,0.2016689,325.81332
2019-11-14,0.20635556,320.6212
2019-11-15,0.206915,321.10187
2019-11-16,0.18418062,348.92825
2019-11-17,0.17913878,361.08365
2019-11-18,0.1884967,347.84015
2019-11-19,0.20058568,335.94675
2019-11-20,0.22113061,312.99854
2019-11-21,0.22590263,307.83316
2019-11-22,0.2312901,302.891
2019-11-23,0.23088318,310.51456
2019-11-24,0.22184102,328.88278
2019-11-25,0.21392335,340.88016
2019-11-26,0.21656978,338.58252
2019-11-27,0.21900317,335.95407
2019-11-28,0.21961372,336.83594
2019-11-29,0.2134668,346.57358
2019-11-30,0.21240285,349.27478
2019-12-01,0.21332331,350.27307
2019-12-02,0.2094854,356.4262
2019-12-03,0.21483076,360.1219
2019-12-04,0.21682481,365.51132
2019-12-05,0.21444486,372.03506
2019-12-06,0.21396674,372.91132
2019-12-07,0.21536863,370.8056
2019-12-08,0.21248505,376.45087
2019-12-09,0.21280867,377.95206
2019-12-10,0.21157435,381.23492
2019-12-11,0.21536942,375.8264
2019-12-12,0.21622343,374.63406
2019-12-13,0.21585076,375.30624
2019-12-14,0.2241508,363.36295
2019-12-15,0.22469456,362.71576
2019-12-16,0.22205628,367.08337
2019-12-17,0.22396803,364.8106
2019-12-18,0.22761059,359.91946
2019-12-19,0.23032528,356.39267
2019-12-20,0.23452921,351.02298
2019-12-21,0.23633844,348.8878
2019-12-22,0.23793438,347.11316
2019-12-23,0.23721328,348.58096
2019-12-24,0.23312692,354.77686
2019-12-25,0.23121135,357.94244
2019-12-26,0.23506993,353.28735
2019-12-27,0.24067473,346.36636
2019-12-28,0.24709624,338.8041
2019-12-29,0.25074378,335.4812
2019-12-30,0.24732688,340.2918
2019-12-31,0.24679492,341.24918
2020-01-01,0.24325383,346.84384
2020-01-02,0.24332187,350.4233
2020-01-03,0.24930882,344.41492
2020-01-04,0.25145516,344.8605
2020-01-05,0.26040187,334.96817
2020-01-06,0.26713815,327.98627
2020-01-07,0.27103993,324.2778
2020-01-08,0.27312934,322.48584
2020-01-09,0.2732267,322.7427
2020-01-10,0.27284345,323.74957
2020-01-11,0.27378792,323.97452
2020-01-12,0.26754513,332.62927
2020-01-13,0.26178658,342.32806
2020-01-14,0.2699599,336.48624
2020-01-15,0.26435548,345.28314
2020-01-16,0.26363719,348.6089
2020-01-17,0.27846032,340.7103
2020-01-18,0.30835986,314.0545
2020-01-19,0.30857983,314.19553
2020-01-20,0.30436724,319.8186
2020-01-21,0.3024351,322.39307
2020-01-22,0.30236724,322.76514
2020-01-23,0.30204803,323.38345
2020-01-24,0.3039437,321.96283
2020-01-25,0.30605936,320.69165
2020-01-26,0.29309586,334.69623
2020-01-27,0.29624048,333.8544
2020-01-28,0.29809704,332.28653
2020-01-29,0.30691087,327.5498
2020-01-30,0.30019465,336.56827
2020-01-31,0.34205672,303.3254
2020-02-01,0.3191803,324.88245
2020-02-02,0.31892708,327.30048
2020-02-03,0.31978697,330.99374
2020-02-04,0.31284475,338.49838
2020-02-05,0.31028315,342.4163
2020-02-06,0.3290739,326.15558
2020-02-07,0.33687422,320.30298
2020-02-08,0.3422321,316.50397
2020-02-09,0.33609113,323.3426
2020-02-10,0.32680428,333.52783
2020-02-11,0.32117724,339.63647
2020-02-12,0.31271023,349.3836
2020-02-13,0.30239326,362.0187
2020-02-14,0.33206546,336.51996
2020-02-15,0.332607,336.36838
2020-02-16,0.3277663,341.76724
2020-02-17,0.3244167,345.76456
2020-02-18,0.325456,349.63275
2020-02-19,0.3184096,367.06207
2020-02-20,0.31039363,381.71213
2020-02-21,0.30561045,390.21457
2020-02-22,0.30813068,389.09338
2020-02-23,0.30422735,394.79614
2020-02-24,0.3023967,399.65384
2020-02-25,0.29504278,406.76297
2020-02-26,0.29289603,410.16586
2020-02-27,0.29250133,411.37863
2020-02-28,0.29281476,411.3788
2020-02-29,0.29430085,409.61816
2020-03-01,0.29676747,406.68097
2020-03-02,0.30202833,400.53372
2020-03-03,0.30522957,396.92218
2020-03-04,0.30563444,396.5422
2020-03-05,0.3054831,396.79135
2020-03-06,0.3038766,399.45544
2020-03-07,0.30901814,394.80576
2020-03-08,0.31729683,386.81174
2020-03-09,0.32271188,385.92426
2020-03-10,0.3278826,383.56137
2020-03-11,0.33877957,375.39365
2020-03-12,0.33096203,386.48978
2020-03-13,0.3289161,393.70987
2020-03-14,0.34544864,378.68332
2020-03-15,0.34030792,377.92432
2020-03-16,0.3369288,384.46106
2020-03-17,0.33723754,385.5677
2020-03-18,0.34737816,376.89078
2020-03-19,0.34344816,388.79074
2020-03-20,0.34046248,394.30066
2020-03-21,0.34929463,386.41006
2020-03-22,0.35959634,377.23853
2020-03-23,0.3671532,370.73065
2020-03-24,0.3662511,372.10367
2020-03-25,0.36024922,380.95575
2020-03-26,0.35864213,386.44824
2020-03-27,0.36708996,387.5247
2020-03-28,0.37127268,391.7569
2020-03-29,0.36979434,395.64957
2020-03-30,0.36844683,397.35794
2020-03-31,0.36649263,404.06387
2020-04-01,0.36786622,410.23694
2020-04-02,0.36279485,417.04248
2020-04-03,0.35874626,422.23932
2020-04-04,0.35609645,426.07983
2020-04-05,0.35890806,424.9383
2020-04-06,0.3780679,406.63535
2020-04-07,0.3829803,402.1889
2020-04-08,0.39556706,391.11594
2020-04-09,0.4036628,384.47726
2020-04-10,0.40711746,381.8281
2020-04-11,0.4122143,377.9186
2020-04-12,0.4142283,376.55133
2020-04-13,0.41248283,378.29623
2020-04-14,0.41134825,382.61145
2020-04-15,0.42688757,378.3801
2020-04-16,0.40582508,403.66644
2020-04-17,0.40086266,409.1965
2020-04-18,0.39657512,414.9259
2020-04-19,0.39315385,421.9892
2020-04-20,0.44465938,402.79605
2020-04-21,0.42230326,418.5433
2020-04-22,0.41643825,424.13046
2020-04-23,0.41544852,425.12268
2020-04-24,0.41434714,426.2093
2020-04-25,0.41362518,426.9604
2020-04-26,0.41221055,428.3277
2020-04-27,0.407799,432.79626
2020-04-28,0.40287602,439.43973
2020-04-29,0.403262,439.9332
2020-04-30,0.41052368,433.40085
2020-05-01,0.43071604,415.72104
2020-05-02,0.43672138,410.8473
2020-05-03,0.44105944,407.32562
2020-05-04,0.44252276,406.1854
2020-05-05,0.44776872,402.6115
2020-05-06,0.4476197,403.6251
2020-05-07,0.43162125,417.2608
2020-05-08,0.43226758,424.41595
2020-05-09,0.42625695,430.11606
2020-05-10,0.4184578,437.5255
2020-05-11,0.4301464,434.67004
2020-05-12,0.41713423,442.41812
2020-05-13,0.39244935,453.4055
2020-05-14,0.38348636,462.93805
2020-05-15,0.37913668,467.08145
2020-05-16,0.37821895,467.93005
2020-05-17,0.3815262,464.74335
2020-05-18,0.39304143,454.77005
2020-05-19,0.4087144,441.35187
2020-05-20,0.4139421,437.21808
2020-05-21,0.41137406,439.62766
2020-05-22,0.41348705,438.118
2020-05-23,0.41362375,438.26303
2020-05-24,0.4126087,439.81458
2020-05-25,0.42119342,440.04434
2020-05-26,0.39547578,484.3322
2020-05-27,0.34833804,549.3641
2020-05-28,0.32024354,549.93945
2020-05-29,0.3043733,540.51495
2020-05-30,0.28835374,549.7078
2020-05-31,0.27956638,550.0
2020-06-01,0.257414,549.8838
2020-06-02,0.24062608,549.5459
2020-06-03,0.24001667,549.24774
2020-06-04,0.22850789,549.78925
2020-06-05,0.22306669,549.73596
2020-06-06,0.22198719,550.0
2020-06-07,0.22527604,522.55896
2020-06-08,0.24021734,547.05554
2020-06-09,0.20429422,550.0
2020-06-10,0.19872023,549.97565
2020-06-11,0.1918419,549.76434
2020-06-12,0.17295589,546.88995
2020-06-13,0.17470258,542.7691
2020-06-14,0.18014266,529.1362
2020-06-15,0.16878243,549.9416
2020-06-16,0.1620434,549.13965
2020-06-17,0.1336965,548.9793
2020-06-18,0.10285293,549.89044
2020-06-19,0.08702836,542.4239
2020-06-20,0.08751535,539.8509
2020-06-21,0.061966185,550.0
2020-06-22,0.041850746,547.11926
2020-06-23,0.023666661,546.81085
2020-06-24,0.00057064276,155.35945
2020-06-25,0.0004947889,151.7276
2020-06-26,0.0002454026,183.51347
2020-06-27,0.0005114629,173.86145
2020-06-28,0.00017121379,145.94992
2020-06-29,0.00040094458,143.20807
2020-06-30,0.0,
2020-07-01,0.00012044313,142.08353
2020-07-02,0.0019831324,229.34178
2020-07-03,0.00014684717,267.17294
2020-07-04,0.00042578133,159.28865
2020-07-05,0.0001697304,224.00945
2020-07-06,0.00032179707,220.05734
2020-07-07,0.00010317142,275.0752
2020-07-08,0.0007672253,245.00214
2020-07-09,0.00022150161,157.36258
2020-07-10,0.0053687594,184.32869
2020-07-11,0.00017188718,309.5443
2020-07-12,0.00015966574,152.20706
2020-07-13,0.00021805243,155.68422
2020-07-14,1.4975982e-05,145.58835
2020-07-15,0.00023180363,158.8
2020-07-16,0.002294081,153.99231
2020-07-17,0.00023775802,158.8
2020-07-18,0.0012947606,149.51402
2020-07-19,0.0013878716,155.0498
2020-07-20,0.00029023754,148.14867
2020-07-21,4.913658e-06,153.12485
2020-07-22,0.0,
2020-07-23,0.000618544,157.41
2020-07-24,0.00035479033,157.35019
2020-07-25,4.1318166e-05,158.8
2020-07-26,0.00021718969,158.8
2020-07-27,0.00059119,148.92358
2020-07-28,0.00018933971,158.8
2020-07-29,0.0006003264,155.98894
2020-07-30,0.00073269644,154.94983
2020-07-31,0.00036895007,195.5091